shopInfo,datetime,IoTInfo,IoTType,IoTStat
A,2020-06-01 00,70-85-C2-51-14-C0,0,0
A,2020-06-01 01,70-85-C2-51-14-C0,0,0
A,2020-06-01 02,70-85-C2-51-14-C0,0,0
A,2020-06-01 03,70-85-C2-51-14-C0,0,0
A,2020-06-01 04,70-85-C2-51-14-C0,0,0
A,2020-06-01 05,70-85-C2-51-14-C0,0,0
A,2020-06-01 06,70-85-C2-51-14-C0,0,0
A,2020-06-01 07,70-85-C2-51-14-C0,0,0
A,2020-06-01 08,70-85-C2-51-14-C0,0,0
A,2020-06-01 09,70-85-C2-51-14-C0,0,0
A,2020-06-01 10,70-85-C2-51-14-C0,0,0
A,2020-06-01 11,70-85-C2-51-14-C0,0,0
A,2020-06-01 12,70-85-C2-51-14-C0,0,0
A,2020-06-01 13,70-85-C2-51-14-C0,0,0
A,2020-06-01 14,70-85-C2-51-14-C0,0,0
A,2020-06-01 15,70-85-C2-51-14-C0,0,0
A,2020-06-01 16,70-85-C2-51-14-C0,0,0
A,2020-06-01 17,70-85-C2-51-14-C0,0,0
A,2020-06-01 18,70-85-C2-51-14-C0,0,0
A,2020-06-01 19,70-85-C2-51-14-C0,0,0
A,2020-06-01 20,70-85-C2-51-14-C0,0,0
A,2020-06-01 21,70-85-C2-51-14-C0,0,0
A,2020-06-01 22,70-85-C2-51-14-C0,0,0
A,2020-06-01 23,70-85-C2-51-14-C0,0,0
A,2020-06-02 00,70-85-C2-51-14-C0,0,0
A,2020-06-02 01,70-85-C2-51-14-C0,0,0
A,2020-06-02 02,70-85-C2-51-14-C0,0,0
A,2020-06-02 03,70-85-C2-51-14-C0,0,0
A,2020-06-02 04,70-85-C2-51-14-C0,0,0
A,2020-06-02 05,70-85-C2-51-14-C0,0,0
A,2020-06-02 06,70-85-C2-51-14-C0,0,0
A,2020-06-02 07,70-85-C2-51-14-C0,0,0
A,2020-06-02 08,70-85-C2-51-14-C0,0,0
A,2020-06-02 09,70-85-C2-51-14-C0,0,0
A,2020-06-02 10,70-85-C2-51-14-C0,0,0
A,2020-06-02 11,70-85-C2-51-14-C0,0,0
A,2020-06-02 12,70-85-C2-51-14-C0,0,0
A,2020-06-02 13,70-85-C2-51-14-C0,0,0
A,2020-06-02 14,70-85-C2-51-14-C0,0,0
A,2020-06-02 15,70-85-C2-51-14-C0,0,0
A,2020-06-02 16,70-85-C2-51-14-C0,0,0
A,2020-06-02 17,70-85-C2-51-14-C0,0,0
A,2020-06-02 18,70-85-C2-51-14-C0,0,0
A,2020-06-02 19,70-85-C2-51-14-C0,0,0
A,2020-06-02 20,70-85-C2-51-14-C0,0,0
A,2020-06-02 21,70-85-C2-51-14-C0,0,0
A,2020-06-02 22,70-85-C2-51-14-C0,0,0
A,2020-06-02 23,70-85-C2-51-14-C0,0,0
A,2020-06-03 00,70-85-C2-51-14-C0,0,0
A,2020-06-03 01,70-85-C2-51-14-C0,0,0
A,2020-06-03 02,70-85-C2-51-14-C0,0,0
